typical_series;exterior_wall_material;thickness;outer_layer;insulation_layer;inner_layer;calc_heat_transfer_resistance
II-18;"Керамзитобетон (блоки)";;0,40;;;0,940816877624760
II-18;Кирпич;;0,50;;;0,886992218176630
II-49;Железобетон;0,30;0,30;0,05;;1,062219809213000
II-49;Керамзитобетон;0,34;;;;0,823457464421820
"II-68 (-01, -02) 1 или 2 секции";"Железобетонная панель";;;;;0,849775847370430
"121 (-041,-042,-043) (9-10 эт)";"Железобетонная панель";;;;;0,849775847370430
"121 (-014,-016,-017) (5,9,10 эт)";"Железобетонная панель";;;;;0,849775847370430
I-125;"Железобетонная панель";;;;;0,849775847370430
I-335;"Керамзитобетонная 1-слойная панель";;;;;0,752653502099810
"I-447 (4,5 эт)";Кирпич;;;;;0,729849361033770
"I-447С-26 (башня)";Кирпич;;;;;0,729849361033770
"I-464А (3,4,5 эт)";"Ж/б 3-х слойная панель с утеплителем";0,30;0,30;0,05;;0,849775847370430
"I-464А17 (5 эт, 60 кв)";"Ж/б 3-х слойная панель с утеплителем";0,30;0,30;0,05;;0,849775847370430
"I-464Д (9эт)-83,-101";"Ж/б 3-х слойная панель с утеплителем";0,30;0,30;0,05;;0,849775847370430
I-510;"Шлакобетон (блоки)";;;;;0,893714907252260
I-511;Кирпич;0,40;;;;0,729849361033770
"I-515 (5 эт)";"Керамзитобетонная 1-слойная панель";0,35;;;;0,940816877624760
"I-515/9 (9 эт)";"Шлакокерамзитобетонная 1-слойная панель";0,40;;;;0,940816877624760
И-209А;"Керамзитобетон (блоки)";;;;;0,940816877624760
II-29;Кирпич;;;;;0,886992218176630
"П-3 (только прямая секция)";"Керамзитобетонная 1-слойная панель";0,32;;;;0,938908594483250
"II-68 (-01, -02) 1 или 2 секции";"Керамзитобетон (блоки)";;;;;0,940816877624760
К-7;"Железобетонная панель";;;;;0,849775847370430
"Нет в списке";"Керамзитобетон (блоки)";;;;;0,940816877624760
"Нет в списке";"Ж/б 3-х слойная панель с утеплителем";;;;;1,062219809213000
"Нет в списке";Кирпич;;;;;0,979849361033770
"Нет в списке";"Шлакобетон (блоки)";;;;;0,893714907252260
"Нет в списке";Монолитные;;;;;0,747126436781610
"Нет в списке";"Железобетонная панель";;;;;0,849775847370430
