,address,betta,factor,intercept,ctp_number,heatstation,unom
0,"1-я Гражданская ул., д. 105",40.64068339562199,-0.001349659130923154,0.0336041340851859,04-01-0610/011,ТЭЦ №23,2109324
1,"1-я Гражданская ул., д. 94",41.035771489588896,-0.002573719486506728,0.07414051949873524,04-01-0610/023,ТЭЦ №23,2405388
2,"1-я Гражданская ул., д. 96",43.26748531767218,-0.00891413872514354,0.213714353540925,04-01-0610/034,ТЭЦ №23,2401019
4,"1-я Мясниковская ул., д. 16",42.88307528029898,-0.006648774674521189,0.1157458241357682,04-01-0611/010,ТЭЦ №23,2403094
5,"2-я Прогонная ул., д. 7А",41.70848905499199,-0.003160207676281496,0.08984753481322962,04-01-0610/032,ТЭЦ №23,2109287
7,"3-й пр. Подбельского, д. 20",41.035771489588896,-0.002516466291691086,0.0433428520531999,04-01-0607/089,ТЭЦ №23,2600017
9,"3-я Богатырская ул., д. 5",42.06620395088094,-0.004325331967051325,0.0767980766336902,04-01-0611/025,ТЭЦ №23,2404482
10,"3-я Гражданская ул., д. 64",42.391884676988795,-0.004358052963160502,0.07959114420871678,04-01-0610/009,ТЭЦ №23,2109298
11,"3-я Гражданская ул., д. 64А",42.02883075280299,-0.002856000706491523,0.08402626425240275,04-01-0610/016,ТЭЦ №23,2109328
12,"5-й пр. Подбельского, д. 2",42.66951414842499,-0.003650798185358138,0.09879365139662677,04-01-0607/034,ТЭЦ №23,2109438
13,"Алымов пер., д. 15",42.66951414842499,-0.006025244199528124,0.1451057540559578,04-01-0610/012,ТЭЦ №23,2109437
15,"Андреево-Забелинская ул., д. 28",44.05232247730913,-0.0080819017367013,0.1357033086969996,04-01-0611/005,ТЭЦ №23,2109294
16,"Бойцовая ул., д. 25",42.562733582487986,-0.004796097377624795,0.1203438158375151,04-01-0607/043,ТЭЦ №23,2109315
18,"Глебовская ул., д. 10Б",42.402562733582485,-0.001901822855930402,0.06421215067664535,04-01-0610/031,ТЭЦ №23,2400151
19,"Глебовская ул., д. 8",40.64068339562199,-0.0008716968688365497,0.03324197512047833,04-01-0610/002,ТЭЦ №23,2109323
20,"Ивантеевская ул., д. 13",44.80512546716498,-0.0006792877865423387,0.01331240160161673,04-01-0607/060,ТЭЦ №23,64120
21,"Ивантеевская ул., д. 1А",41.17458622530699,-0.001920963783652917,0.03736522702144856,04-01-0612/030,ТЭЦ №23,2138113
22,"Ивантеевская ул., д. 25, к. 1",42.562733582487986,-0.004444406960110661,0.1029480051072935,04-01-0607/029,ТЭЦ №23,2115193
23,"Игральная ул., д. 7А",41.601708489055,-0.001996565857743506,0.0379401541544753,04-01-0611/006,ТЭЦ №23,2104040
24,"Краснобогатырская ул., д. 19, к. 1",45.445808862786976,-0.0022650614854704,0.04963831817419494,04-01-0610/028,ТЭЦ №23,11463
25,"Краснобогатырская ул., д. 23А",40.74746396155899,-0.001540126036982048,0.03876642755152738,04-01-0610/014,ТЭЦ №23,2109321
26,"Краснобогатырская ул., д. 25А",42.66951414842499,-0.004649439108519103,0.1223723757478208,04-01-0610/029,ТЭЦ №23,2109233
28,"Лосиноостровская ул., д. 22А, стр. 3",41.44153764014949,-0.01169962100888518,0.2210549688275166,04-01-0612/016,ТЭЦ №23,2109421
29,"Лосиноостровская ул., д. 22А, стр. 7",40.0,-0.0005431812400124748,0.01070272448006352,04-01-0612/016,ТЭЦ №23,2400174
30,"Миллионная ул., д. 12А",40.928990923651895,-0.003459888223479445,0.0784535225690299,04-01-0611/015,ТЭЦ №23,2404481
32,"Миллионная ул., д. 5, к. 1",41.7279551521623,-0.00440842506474289,0.0784326255043948,04-01-0611/025,ТЭЦ №23,2600608
33,"Миллионная ул., д. 6",44.48478376935398,-0.00543962889827126,0.165873259628982,04-01-0611/015,ТЭЦ №23,2114478
34,"Открытое ш., д. 3",42.57341163908169,-0.003259791949377226,0.08708835877439225,04-01-002,КТС-28,2404519
36,"Открытое ш., д. 5",42.57341163908169,-0.002550128022220318,0.07110145544274947,04-01-003,КТС-28,2404520
